PSMD14,PSMD1
PSMD14,PSMD13
PSMD3,PSMD11
PSMD3,PSMD12
PSMD3,PSMD9
PSMD3,PSMD14
PSMD3,PSMD10
PSMD3,PSMC3
PSMD3,PSMC2
PSMD3,PSMC4
PSMD3,PSMD8
PSMD3,PSMD7
PSMD3,PSMD4
PSMD3,PSMC1
PSMD3,PSMC5
PSMD3,PSMC6
PSMD3,PSMD2
PSMD3,PSMD6
PSMD3,PSMD5
PSMD3,PSMD1
PSMD3,PSMD13
PSMD10,PSMD11
PSMD10,PSMD12
PSMD10,PSMD9
PSMD10,PSMD14
PSMD10,PSMD3
PSMD10,PSMC3
PSMD10,PSMC2
PSMD10,PSMC4
PSMD10,PSMD8
PSMD10,PSMD7
PSMD10,PSMD4
PSMD10,PSMC1
PSMD10,PSMC5
PSMD10,PSMC6
PSMD10,PSMD2
PSMD10,PSMD6
PSMD10,PSMD5
PSMD10,PSMD1
PSMD10,PSMD13
PSMC3,PSMD11
PSMC3,PSMD12
PSMC3,PSMD9
PSMC3,PSMD14
PSMC3,PSMD3
PSMC3,PSMD10
PSMC3,PSMC2
PSMC3,PSMC4
PSMC3,PSMD8
PSMC3,PSMD7
PSMC3,PSMD4
PSMC3,PSMC1
PSMC3,PSMC5
PSMC3,PSMC6
PSMC3,PSMD2
PSMC3,PSMD6
PSMC3,PSMD5
PSMC3,PSMD1
PSMC3,PSMD13
PSMC2,PSMD11
PSMC2,PSMD12
PSMC2,PSMD9
PSMC2,PSMD14
PSMC2,PSMD3
PSMC2,PSMD10
PSMC2,PSMC3
PSMC2,PSMC4
PSMC2,PSMD8
PSMC2,PSMD7
PSMC2,PSMD4
PSMC2,PSMC1
PSMC2,PSMC5
PSMC2,PSMC6
PSMC2,PSMD2
PSMC2,PSMD6
PSMC2,PSMD5
PSMC2,PSMD1
PSMC2,PSMD13
PSMC4,PSMD11
PSMC4,PSMD12
PSMC4,PSMD9
PSMC4,PSMD14
PSMC4,PSMD3
PSMC4,PSMD10
PSMC4,PSMC3
PSMC4,PSMC2
PSMC4,PSMD8
PSMC4,PSMD7
PSMC4,PSMD4
PSMC4,PSMC1
PSMC4,PSMC5
PSMC4,PSMC6
PSMC4,PSMD2
PSMC4,PSMD6
PSMC4,PSMD5
PSMC4,PSMD1
PSMC4,PSMD13
PSMD8,PSMD11
PSMD8,PSMD12
PSMD8,PSMD9
PSMD8,PSMD14
PSMD8,PSMD3
PSMD8,PSMD10
PSMD8,PSMC3
PSMD8,PSMC2
PSMD8,PSMC4
PSMD8,PSMD7
PSMD8,PSMD4
PSMD8,PSMC1
PSMD8,PSMC5
PSMD8,PSMC6
PSMD8,PSMD2
PSMD8,PSMD6
PSMD8,PSMD5
PSMD8,PSMD1
PSMD8,PSMD13
PSMD7,PSMD11
PSMD7,PSMD12
PSMD7,PSMD9
PSMD7,PSMD14
PSMD7,PSMD3
